Category	Value
UNK:UNK	This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.
UNK:UNK	I'm happy about this purchase- good quality and low price.
UNK:UNK	I love the look and feel of Samsung flipphones.
UNK:UNK	Its well-designed and very sharp -- the blue is a very nice color.
UNK:UNK	Does everything it should and more.
UNK:UNK	I could not recommend these more.
UNK:UNK	Nice Sound.
UNK:UNK	"Looks good in the picture, but this case was a huge disappointment!!"
UNK:UNK	Much less than the jawbone I was going to replace it with.
UNK:UNK	Setup went very smoothly.
UNK:UNK	its extremely slow and takes forever to do anything with it.
UNK:UNK	"A must study for anyone interested in the ""worst sins"" of industrial design."
UNK:UNK	The first thing that happened was that the tracking was off.
UNK:UNK	"It is well made, easy to access the phone and has a handy, detachable belt clip."
UNK:UNK	Then I had to continue pairing it periodically since it somehow kept dropping.
UNK:UNK	Can't upload ringtones from a third party.
UNK:UNK	"Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked."
UNK:UNK	Truly awful.
UNK:UNK	"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did."
UNK:UNK	The volume for the ringer is REAL good (you have choices how loud).
UNK:UNK	And none of the tones is acceptable.
UNK:UNK	camera color balance is AWFUL.
UNK:UNK	"This product is clearly not ready for prime time, I don't care how cool it looks, if you can't tell a call is coming in it's worthless."
UNK:UNK	I love the ringtones because they are so upbeat!
UNK:UNK	Chinese Forgeries Abound!.
UNK:UNK	Easy to pair with my Samsung Cell.
UNK:UNK	The instructions didn't explain that a microphone jack could be used.
UNK:UNK	i would advise to not purchase this item it never worked very well.
UNK:UNK	Too bad you have to pay up to $$$ a month for the service!
UNK:UNK	Works well.
UNK:UNK	The nokia CA-42 USB cable did not work with my phone.
UNK:UNK	Clear crisp sound.
UNK:UNK	"I have to use the smallest earpieces provided, but it stays on pretty well."
UNK:UNK	"The biggest complaint I have is, the battery drains superfast."
UNK:UNK	The design might be ergonomic in theory but I could not stand having these in my ear.
UNK:UNK	Do NOT buy if you want to use the holster.
UNK:UNK	The phone can also take great pictures and even video clips.
UNK:UNK	It doesn't make you look cool.
UNK:UNK	"Because both ears are occupied, background is not distracting at all."
UNK:UNK	"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day."
UNK:UNK	"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player."
UNK:UNK	You can't beat the price on these.
UNK:UNK	"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!"
UNK:UNK	lightweight and works well.
UNK:UNK	So just beware.
UNK:UNK	I love this cable - it allows me to connect any mini-USB device to my PC.
UNK:UNK	So anyone near you will hear part of your conversation.
UNK:UNK	This is cool because most cases are just open there allowing the screen to get all scratched up.
UNK:UNK	I bought this phone as a replacement for my StarTac and have regretted it since.
UNK:UNK	Appears to actually outperform the original battery from China that came with my V325i.
UNK:UNK	Can't store anything but phone numbers to SIM.
UNK:UNK	"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem."
UNK:UNK	Poor quality.
UNK:UNK	"jabra ear gels ""R"" the best!."
UNK:UNK	Not worth it.
UNK:UNK	The phone crashed completely and now I have to get it replaced.
UNK:UNK	"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned."
UNK:UNK	"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc)."
UNK:UNK	It was a great phone.
UNK:UNK	if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.
UNK:UNK	"Good value, works fine - power via USB, car, or wall outlet."
UNK:UNK	My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.
UNK:UNK	This is simply the BEST bluetooth headset for sound quality!
UNK:UNK	Think it over when you plan to own this one!This sure is the last MOTO phone for me!
UNK:UNK	"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?"
UNK:UNK	I have always used corded headsets and the freedom from the wireless is very helpful.
UNK:UNK	"This case has passed the one year mark and while it shows signs of wear, it is 100% functional."
UNK:UNK	"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape."
UNK:UNK	It has everything I need and I couldn't ask for more.
UNK:UNK	After receiving and using the product for just 2 days it broke.
UNK:UNK	This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.
UNK:UNK	None of the three sizes they sent with the headset would stay in my ears.
UNK:UNK	T-Mobile has the best customer service anywhere.
UNK:UNK	Arrived quickly and much less expensive than others being sold.
UNK:UNK	We have tried 2 units and they both failed within 2 months.. Pros
UNK:UNK	"Provides good protection and looks classy, too."
UNK:UNK	Krussel Always good.
UNK:UNK	"The tracfonewebsite is user friendly and makes it easy toactivate, etc."
UNK:UNK	The design is very good.4.
UNK:UNK	I great reception all the time.
UNK:UNK	I would highly recommend this product.
UNK:UNK	"Couldn't use the unit with sunglasses, not good in Texas!"
UNK:UNK	It dit not work most of the time with my Nokia 5320.
UNK:UNK	"Bought mainly for the charger, which broke soon after purchasing."
UNK:UNK	"If you like a loud buzzing to override all your conversations, then this phone is for you!"
UNK:UNK	Fantastic buy and will get again for whatever my next phone is
UNK:UNK	"stay away from this store, be careful."
UNK:UNK	This BlueAnt Supertooth hands-free phone speaker is AWESOME.
UNK:UNK	Does not fit.
UNK:UNK	.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.
UNK:UNK	"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time."
UNK:UNK	disappointing.
UNK:UNK	Blue Ant is easy to use.
UNK:UNK	Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.
UNK:UNK	The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.
UNK:UNK	Then a few days later the a puff of smoke came out of the phone while in use.
UNK:UNK	It's very convenient and simple to use - gets job done & makes the car ride so much smoother.
UNK:UNK	The nano stated it.My son was dissapointed.
UNK:UNK	The sound quality is excellent as well.
UNK:UNK	Its the best headset I have used.
UNK:UNK	Would not reccommend.
UNK:UNK	They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.
UNK:UNK	Just what I wanted.
UNK:UNK	This particular model would not work with my Motorola Q smartphone.
UNK:UNK	wont work right or atleast for me.
UNK:UNK	in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.
UNK:UNK	"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it."
UNK:UNK	"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good"
UNK:UNK	Great product.
UNK:UNK	Crisp and Clear.
UNK:UNK	AFter the first charge kept going dead after 12 minutes.
UNK:UNK	"VERY cheap plastic, creaks like an old wooden floor."
UNK:UNK	"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem."
UNK:UNK	The reception has been generally good.
UNK:UNK	"Excellent sound, battery life and inconspicuous to boot!."
UNK:UNK	Great bluetooth!.
UNK:UNK	I highly recommend this case.
UNK:UNK	WORTHWHILE.
UNK:UNK	This is a great deal.
UNK:UNK	"After my phone got to be about a year old, it's been slowly breaking despite much care on my part."
UNK:UNK	I am sorry I made this purchase.
UNK:UNK	I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.
UNK:UNK	Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.
UNK:UNK	It was horrible!.
UNK:UNK	I don't think it would hold it too securly on your belt.
UNK:UNK	This allows the possibility of double booking for the same date and time after the first.
UNK:UNK	They work about 2 weeks then break.
UNK:UNK	It is simple to use and I like it.
UNK:UNK	"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!"
UNK:UNK	I can't use this case because the smell is disgusting.
UNK:UNK	NOT WHAT I WANTED.
UNK:UNK	I own 2 of these cases and would order another.
UNK:UNK	Great Phone.
UNK:UNK	I bought this battery with a coupon from Amazon and I'm very happy with my purchase.
UNK:UNK	"The internet access was fine, it the rare instance that it worked."
UNK:UNK	Perfect for the PS3.
UNK:UNK	"Five star Plus, plus."
UNK:UNK	A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.
UNK:UNK	$50 Down the drain.
UNK:UNK	I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.
UNK:UNK	"Good , works fine."
UNK:UNK	For the price this was a great deal.
UNK:UNK	"Great price, too!"
UNK:UNK	"If there is a wind, it is completely useless."
UNK:UNK	Yes it's shiny on front side - and I love it!
UNK:UNK	Does Not Work.
UNK:UNK	"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr)."
UNK:UNK	The reception through this headset is excellent.
UNK:UNK	2 thumbs up to this seller
UNK:UNK	"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight."
UNK:UNK	Improper description.... I had to return it.
UNK:UNK	#1 It Works - #2 It is Comfortable.
UNK:UNK	Battery charge-life is quite long.
UNK:UNK	The Jabra EarGels fit my ears very well.
UNK:UNK	Battery has no life.
UNK:UNK	I checked everywhere and there is no feature for it which is really disappointing.
UNK:UNK	Product is exactly as described.
UNK:UNK	Gets a signal when other Verizon phones won't.
UNK:UNK	Doesn't do the job.
UNK:UNK	I would recommend it.
UNK:UNK	Plan on ordering from them again and again.
UNK:UNK	"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well."
UNK:UNK	I have been very satisfied with this cell phone from day one.
UNK:UNK	They keep getting better and better (this is my third one and I've had numerous Palms too).
UNK:UNK	Awkward to use and unreliable.
UNK:UNK	The shipping time was also very quick!
UNK:UNK	Not as good as I had hoped.
UNK:UNK	Good case!.
UNK:UNK	Doesn't Work.
UNK:UNK	Really good product.
UNK:UNK	Unfortunately it did not work.
UNK:UNK	All three broke within two months of use.
UNK:UNK	dont buy it.
UNK:UNK	"My father has the V265, and the battery is dying."
UNK:UNK	"However, the ear pads come off easily and after only one week I lost one."
UNK:UNK	"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently."
UNK:UNK	"Horrible, horrible protector."
UNK:UNK	I don't like this Nokia either.
UNK:UNK	"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3."
UNK:UNK	I have bought this Nokia cell phone a few weeks ago and it was a nightmare.
UNK:UNK	It would take too long to describe how bad my customer service experience has been with Amazon.
UNK:UNK	the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!
UNK:UNK	Terrible.. My car will not accept this cassette.
UNK:UNK	"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with."
UNK:UNK	It's not what it says it is.
UNK:UNK	Stay Away From the Q!.
UNK:UNK	Used and dirty.
UNK:UNK	Very unreliable service from T-mobile !
UNK:UNK	Not good enough for the price.
UNK:UNK	I bought two of them and neither will charge.
UNK:UNK	It looks very nice.
UNK:UNK	"This is an excellent tool, especially when paired with your phone's auto-answer."
UNK:UNK	I have read other's reviews here but I haven't had any problem with it.
UNK:UNK	These products cover up the important light sensor above the ear outlet.
UNK:UNK	Comfortable in my hand.
UNK:UNK	Just does not work.
UNK:UNK	Poor Reliability.
UNK:UNK	(It works!)
UNK:UNK	"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing."
UNK:UNK	"Terrible product, and waste of money!"
UNK:UNK	Last time buying from you.
UNK:UNK	It was a waste of my money.
UNK:UNK	So far it has worked like a charm.
UNK:UNK	"I have only had it for a few weeks, but so far, so good."
UNK:UNK	"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone."
UNK:UNK	Would recommend this item.
UNK:UNK	It's been my choice headset for years.Great sound; good volume; good noise cancellation.
UNK:UNK	"Nice case, feels good in your hands."
UNK:UNK	The item received was Counterfeit.
UNK:UNK	"Just really good.. So far, probably the best BT headset I have ever had."
UNK:UNK	Works fine.
UNK:UNK	I received my headset in good time and was happy with it.
UNK:UNK	I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.
UNK:UNK	My sister has one also and she loves it.
UNK:UNK	Good Quality.
UNK:UNK	This is by far the worst purchase I've made on Amazon.
UNK:UNK	Excellent dual-purpose headset.
UNK:UNK	Excellent!.
UNK:UNK	Does not work for listening to music with the cingular 8125.
UNK:UNK	"It seems completely secure, both holding on to my belt, and keeping the iPhone inside."
UNK:UNK	"The bottowm line...another worthless, cheap gimmick from Sprint."
UNK:UNK	Having trouble with volume.
UNK:UNK	The only good thing was that it fits comfortably on small ears.
UNK:UNK	WARNING - DO NOT BUY!!.
UNK:UNK	"I am pairing this with my iphone, and I could not be happier with it so far."
UNK:UNK	"When it opens, the battery connection is broken and the device is turned off."
UNK:UNK	"I didn't want the clip going over the top of my ear, causing discomfort."
UNK:UNK	Best headset ever!!!.
UNK:UNK	Don't trust their website and don't expect any helpful support.
UNK:UNK	It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.
UNK:UNK	The speaker is of low quality so as making the ring tones sound very cheap.
UNK:UNK	"Fits comfortably, came with three sizes of earbud tips."
UNK:UNK	Excellent product for the price.
UNK:UNK	Bad Reception.
UNK:UNK	This product is very High quality Chinese CRAP!!!!!!
UNK:UNK	It was quite comfortable in the ear.
UNK:UNK	Great phone.
UNK:UNK	Don't buy this product - It fails!.
UNK:UNK	Everything about this product is wrong.First
UNK:UNK	The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.
UNK:UNK	"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts."
UNK:UNK	Terrible phone holder.
UNK:UNK	The cutouts and buttons are placed perfectly.
UNK:UNK	I love being able to use one headset for both by land-line and cell.
UNK:UNK	Problem is that the ear loops are made of weak material and break easily.
UNK:UNK	Not nearly as good looking as the AMAZON picture makes it look.
UNK:UNK	"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product."
UNK:UNK	How stupid is that?
UNK:UNK	"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting."
UNK:UNK	Seller shipped quickly and much cheaper than the competitors.
UNK:UNK	"Good show, Samsung."
UNK:UNK	So I bought about 10 of these and saved alot of money.
UNK:UNK	It always cuts out and makes a beep beep beep sound then says signal failed.
UNK:UNK	Couldn't figure it out
UNK:UNK	"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it."
UNK:UNK	So I had to take the battery out of the phone put it all back together and then restart it.
UNK:UNK	"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop."
UNK:UNK	Leopard Print is wonderfully wild!.
UNK:UNK	Works for me.
UNK:UNK	"Saggy, floppy piece of junk."
UNK:UNK	much better than the hard plastic cases.
UNK:UNK	It also had a new problem.
UNK:UNK	Happy so far!.
UNK:UNK	cool phone.
UNK:UNK	Works good.
UNK:UNK	Motorola finally got the voice quality of a bluetooth headset right.
UNK:UNK	It looses connection to the phone even when it is within a couple feet between the two.
UNK:UNK	"but it is great, i would really recommend it"
UNK:UNK	Makes it easier to keep up with my bluetooth when I'm not wearing it.
UNK:UNK	As I said above....PRETTY USELESS!
UNK:UNK	Never got it!!!!!
UNK:UNK	This pair of headphones is the worst that I have ever had sound-wise.
UNK:UNK	[...] down the drain because of a weak snap!
UNK:UNK	Does not charge the Cingular (ATT) 8525 phone.
UNK:UNK	"You get extra minutes so that you can carry out the call and not get cut off."""
UNK:UNK	"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls."
UNK:UNK	I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.
UNK:UNK	The headset fulfills my requirements so I am happy with my purchase.
UNK:UNK	Logitech Bluetooth Headset is a 10!.
UNK:UNK	"I like the fact that it rests lightly against your ear, rather than inside."
UNK:UNK	A lot of websites have been rating this a very good phone and so do I.
UNK:UNK	I have tried these cables with my computer and my iPod and it works just fine.
UNK:UNK	"The mic there is a joke, and the volume is quite low."
UNK:UNK	I'm returning them.
UNK:UNK	I does not maintain a connection with the computer while it is on my lap.
UNK:UNK	It is easy to turn on and off when you are in the car and the volume controls are quite accessable.
UNK:UNK	I have had mine for about a year and this Christmas I bought some for the rest of the family.
UNK:UNK	"Otherwise, easy to install and use, clear sound."
UNK:UNK	nice leather.
UNK:UNK	I had to purchase a different case.
UNK:UNK	It is a joy to use.
UNK:UNK	Very much disappointed with this company.
UNK:UNK	Very satisifed with that.
UNK:UNK	It didn't charge for me.
UNK:UNK	This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!
UNK:UNK	Buttons are too small.
UNK:UNK	Just reading on the specs alone makes you say WOW.
UNK:UNK	Love it.. Great armband.
UNK:UNK	I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.
UNK:UNK	"However, the keypads are so tinny that I sometimes reach the wrong buttons."
UNK:UNK	I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.
UNK:UNK	I was very impressed with the price of the cases.
UNK:UNK	Also makes it easier to hold on to.
UNK:UNK	"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!"
UNK:UNK	It's pretty easy.
UNK:UNK	I cannot make calls at certain places.
UNK:UNK	"however, my girl was complain that some time the phone doesn't wake up like normal phone does."
UNK:UNK	Beautiful styling though.
UNK:UNK	This company charge me a restocking fee and still not given me my refund back.
UNK:UNK	I'm trying to return it for a refund.
UNK:UNK	I plugged it in only to find out not a darn thing worked.
UNK:UNK	Excellent product.
UNK:UNK	Earbud piece breaks easily.
UNK:UNK	Lousy product.
UNK:UNK	This phone tries very hard to do everything but fails at it's very ability to be a phone.
UNK:UNK	It is the best charger I have seen on the market yet.
UNK:UNK	SWEETEST PHONE!!!
UNK:UNK	":-)Oh, the charger seems to work fine."
UNK:UNK	It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.
UNK:UNK	Not enough volume.
UNK:UNK	Echo Problem....Very unsatisfactory
UNK:UNK	you could only take 2 videos at a time and the quality was very poor.
UNK:UNK	don't waste your money.
UNK:UNK	I am going to have to be the first to negatively review this product.
UNK:UNK	Adapter does not provide enough charging current.
UNK:UNK	"There was so much hype over this phone that I assumed it was the best, my mistake."
UNK:UNK	You also cannot take pictures with it in the case because the lense is covered.
UNK:UNK	Phone falls out easily.
UNK:UNK	"It didn't work, people can not hear me when I talk."
UNK:UNK	The text messaging feature is really tricky to use.
UNK:UNK	I'm really disappointed all I have now is a charger that doesn't work.
UNK:UNK	Painful on the ear.
UNK:UNK	Lasted one day and then blew up.
UNK:UNK	disappointed.
UNK:UNK	Kind of flops around.
UNK:UNK	The screen does get smudged easily because it touches your ear and face.
UNK:UNK	What a piece of junk.. I lose more calls on this phone.
UNK:UNK	Item Does Not Match Picture.
UNK:UNK	The only thing that disappoint me is the infra red port (irda).
UNK:UNK	"You can not answer calls with the unit, never worked once!"
