,question_1,label
923,In planning what is an MSA?,7
924,What is the cheapest/best way to display a gamecube video game system on a lcd computer screen?,5
925,"where can i find the phone pranks from full metal jacket, is in in any stores in los angeles ca?",8
926,how can i find someones email when i've lost all touch with them?,9
927,Cold Turkey?,4
928,Can someone with heavy feet ever learn to dance?,1
929,Is there a free online course for programming for people who know nothing about it but want to learn?,5
930,"i am such a loner, i hate crowds, what will i do to convince myself that i should interact with other people?",1
931,"stephanie in yahoo personals in crossville, tn.how can i contact her?",9
932,how do you cure addiction?,1
933,Which institutions of Higher Education have the highest quality food?,4
934,How are a blonde and a turtle alike?,7
935,how to get rid of static electricity?,2
936,"how can i reduce my weigth,i feel too bad in my appearance.?",3
937,What state next to California has cheap rent?,7
938,what is the key signature for the D sharp scale?,8
939,Which city stands near the mouth of the Yarra River?,2
940,how do you know if you really love someone and want to spend the rest of your life with them how do you know?,9
941,How many miles can the average person walk in one day?,3
942,how many states were there doing the civil war?,10
943,"who wud win in a fight, Muhammuad Ali, or Mike Tyson?",6
944,The way you make friends.?,7
945,What is so exciting about Intel Yonah?,5
946,What are the roles of gravitational force in the ultimate fate of the universe?,2
947,Why dont we get points for reporting abuse?,5
948,what percentage of the usa's population live below poverty line?,1
949,Is it really all that difficult for a female to be elected US president?,10
950,"Who pays for those ""The More you Know"" advertisements on TV?",8
951,does anyone know if podiatrists with epilepsy can do surgery?,3
952,what is a transistor laser?,5
953,What is the bad effect of not having sex regularly?,3
954,"i,m 20 and my boyfriend for almost 3yrs is 30 and his sex is starting to get kind of dry,what should i do.?",9
955,"What does ""Le chanticleer"" mean in english? It might be spelled ""le charticleer."" What lanquage is it?",1
956,"What is base 1,2,3, and homerun when u go out w/ a guy i 4got?",9
957,Why are people gay?,7
958,HOW TO I FIND PEOPLE OR CHARITIES WILLING TO HELP ME TO NOT LOOSE MY HOME??,1
959,While I Oftern I loose the connection to my Proxy server for internet?,5
960,Synthesis on the understanding of Revelation in the catholic church?,1
961,Are there any bones or specimens of Dodo birds on display anywhere?,2
962,what is daegan wicca?,7
963,Why is printer ink so expensive?,5
964,"how many miles is 2,713 feet?",7
965,Who will be the winner b/w India & Pakistan Cricket Series?,6
966,r there intelligent life form other than us???,2
967,"How is ""Brown & Root and Lyndon Johnson"" like ""Haliburton and Vice President Cheney""?",10
968,who's the best soccer player Maradona or Pele?,6
969,What is Human Technology Interfaces ?,5
970,"What movie or show is the line ""easy on the hardware"" from?",8
971,can you tune a violin to include a C string?,8
972,I want a website that i can download free iranian film from.what is the web site?,8
973,what is the best email service?,5
974,How can I form my own political party?,10
975,Does the Apply Vally Branch Library n California Preform marriages?,9
976,any one who favors the lord can answer my question what are the seven deadly sins where are  they in bible?,7
977,how do you greet in arabian?,1
978,Is Bush going to be empeached for his dirty deeds?and I thought he was a Christian.?,10
979,what vitamins that build muscles and speed?,3
980,hard and soft ecotourist?,7
981,Where can i find instructions/diagrams on how to install a car stereo?,7
982,Are you Left Handed?,7
983,How many dimensions are we really able to perceive?,2
984,What are the nine rules of using capital letters?,4
985,Is there going to be a next generation of the Xbox 360 due to poor power hook-ups?,8
986,how do i find my sisters blog?,7
987,"Why is the USA still pressuring Cuba , although communism has failed worldwide??",10
988,why do guys hurt girls but they say they love u and would do anything for you?,7
989,who will win the rose bowl?,6
990,what makes your mouth water?,7
991,finger eleven?,8
992,how do you find if ou have a credit card in your name?,7
993,If you hold it to tight it will fall out of your hand if you hold it to loosely you will break it. What is it?,8
994,Who will be ranked #1 at the end of the NCCA Mens Basketball Season?,6
995,how do i call alaska from italy?,7
996,How does website like YouTube make money or at least maintain itself financially?,5
997,"I keep getting kick off the internet by Microsoft Explorer why, what can I do?",5
998,why am i alive?,7
999,how do you delete a old yahoo account?,7
1000,what's your favourite cologne / perfume ?,7
1001,Do all diabetics have realy dry skin?,3
1002,How do I keep my mother out of my marriage?,9
1003,What is the average age for a Western woman to get married? Is 27 too young?,9
1004,While downloading from any site how can we know if its safe?,5
1005,Why the Bible is splited in Testaments? why Testaments?,1
1006,i am a contract worker my contract is for one mouth only so what am i'm going to do with out working?,7
1007,how many  us dollars are in one million british pounds?,7
1008,"If some guys out there worry about being ""To Small"" do women ever worry about being ""To Big""???",9
1009,What does ACE stand for?,7
1010,What do I have to do to make something illegal into something legal?,10
1011,how to set up paltalk and port triggger with a linksys router?,5
1012,whats the best way to increase speed endurance and strenght when you are a track athlete?,6
1013,What's the best free version control system system on windows XP for a single developer?,5
1014,what is the main cause why computer gets a virus?,5
1015,What's your favorite Christmas memory?,7
1016,Why are most education majors in elementary education?,4
1017,"in simpson episode 3f17 bart on the road, Lisa says her boyfriend is Langdon Alger.  What is the Joke?",8
1018,Is the Devil sexier than the Angel?,9
1019,Which is the country with top development indicators?,10
1020,The IRS said i had to pay a penalty. i filed a dispute. am i legally obligated to pay unless they follow up?,7
1021,I'am doing a project and i would like to know if cystic fibrosis is a genetic diseases?,3
1022,Has there every been a US president that was not a Christian White Male?,10
1023,what did hitlar do?,10
1024,How is it that water can freeze and salt water can't freeze? {Think of the north pole.}?,2
1025,What topic would you like to ask now?,7
1026,anybody knows what hapened to Greg Louganes the HIV positive olympic gold medalist of 1988?,6
1027,What is the difference between Static and Dynamic storage management?,5
1028,Who said this?,4
1029,Can a woman achieve an orgasm while sitting atop a running clothes dryer?,7
1030,What is the meaning of life?,7
1031,wat is the answer to 5 ( x - 3 ) = 2x + 6 ?,2
1032,where would you like to go for your honeymoon??,7
1033,I am looking for a directory of all major racetracks in the U.S. and help??,6
1034,what is Serialization in Java?Can anyone help me with an example?,5
1035,Can Apple Safari's implementation of AJAX do POST actions as well as GET actions?,5
1036,How to calculate no of page in website?,5
1037,how do you get rid of lazyness?,7
1038,How do I personally get my website on major search engines?,5
1039,in the last 8 years duke has been chosen #1 at least 5 times and didn't win the year they won ariz. was #1,6
1040,Can you suggest some examples of good Internet etiquette?,5
1041,"can anyone explain what are Entity,Session and Message Driven beans in Ejb with a simple example ?",5
1042,Where can I find the names of people who hoold managerial positions in TNA wrestling?,6
1043,How much a recruiter make by placing a person on a job?,2
1044,what do you get someone for christmas that has everything?,7
1045,info on book.storming caesars palace and relationship of emma stampley?,10
1046,Where do I go to to find the free credit report that the government says that I can receive yearly?,10
1047,What is a great holiday gift to give to your co-workers?,7
1048,what is Avogadro's number?,2
1049,what does FIFA stand for?,6
1050,what are the best ways to restore credit?,7
1051,What is the best on-line brokerage firm?,5
1052,what would the acronym LTM stand for in the context of an airline industry investor relations webcast?,7
1053,"If i weigh 200 on earth, how much will i weigh on the moon?",2
1054,what are the pros and conts of the patriot act?,10
1055,What is tamiflu?,3
1056,Why does a laptop keep shutting down?,5
1057,Why is showing a female nipple not allowed but a male nipple is allowed?,1
1058,Hello Im Dee I would like to ask what I should do when I catch my boyfriend looking at xxx wibsites?,7
1059,"met some one on line! both feel same about on another ! am i being played  ,how do i know if real or not     ?",9
1060,i would like to see the process of making gold chains in a teching method by a media like a demo file in net.?,4
1061,What do you need to become a psychologist?,4
1062,Who's got the best search engine?,5
1063,how i successe in life?,7
1064,how can we see the reflection of sun that shows the activity on sun's surface?,2
1065,"Why the time machines & watches always show time as 10 hrs & 10 mins, while on display or in ads?",7
1066,"How did the calendar start? Why 31, 30 and 28-29? Why 12 months?",2
1067,does Florida have the homestead act?,10
1068,why is the middle finger considerd a bad finger?,4
1069,lWho won the Salt Lake City biathlon?,6
1070,Can anyone send me some useful sites for English language teachers?,4
1071,What are 4 forms of Imperialism?,10
1072,how does an Ad agency advertise itself?,7
1073,"Why do people give gift cards as presents, when the receipients would most likely rather get cash?",1
1074,did you ever have alot of guys ask you out in at least 20 min?,7
1075,how do you print grid lines on a spread sheet?,7
1076,What's the best sleeping aid?,3
1077,what is the address or site of penguineindia books?,7
1078,What would Bush be best remembered for??,10
1079,What are some of the particles in the nucleus of an atom other than the proton and neutron?,2
1080,Help me to solve Djikstra in C++ ??,5
1081,Do I have to have a religion?,1
1082,the subject of a sentence may be what part of speech?,4
1083,differencs between friend & girlfriend?,7
1084,What's your favorite quote from a movie?,8
1085,What's the best way to learn Japanese on my own. Where do I start?,4
1086,how can I make a maya 7 file readable in maya 6?,5
1087,what does NAMASTE mean in english?,1
1088,Will Kyle Boller be starting for the Ravens next year?,6
1089,Wich club is the best Real madried or FC Barcelona ?,6
1090,what is the concept of global warming?,4
1091,are there any marriage minded asian females out there??,9
1092,WHAT ARE THE GREEN MAILBOXES FOR RIGHT NEXT TO THE BLUE POSTAL BOXES?,7
1093,"Where did the phrase ""rule of thumb"" come from?",7
1094,what is the name of modern day Sparta?,4
1095,how did soccer player Pele meke money and what did he sponsor?,6
1096,I'm trying to find out when a blueberry is red?,4
1097,what does the HCGS stand for on communications T1.5's?,5
1098,what is vasectomy?,3
1099,What is a good entrance for the birthday girl @ her sweet 16?,7
1100,Does anyone know how much AOL is a month?,7
1101,How many hours does a koala sleep in a day?,4
1102,I am going to apply for the position of assistant in an embassy. Which format of CV shall I choose?,7
1103,"Where do 'hang nails' come from? One hour your nail look fine and then BOOM, a hang nail magically appears!??",2
1104,Who is your favorite wrestling star ?,6
1105,"Most acids form ions in solution by ________, and most bases form ions in solution by_______?.?",2
1106,Was the Civil War unavoidable?,10
1107,Why does the smell of cigarette smoke make me sick?,3
1108,"What are the two names of the town in ""It's a Wonderful Life""?",4
1109,How do cows have sex?,5
1110,please can anybody give me the descriptions of Francois Villon?,4
1111,Can Dog's tick spreds to humans?,3
1112,how do i upload audio with a microphone?,5
1113,How can I act like myself when I am talking to someone I hardly know?,7
1114,"trying to find a residential phone #, but cant find it in the yellow pages?",7
1115,What does satan do?,1
1116,"who is the director, network and carrier systems for sprint?",7
1117,what is the meaning of life?,7
1118,"Compare winamp, windows media player, real player performancewise!?",5
1119,What are ID3 tags?,5
1120,k but how u do disc clean up?,5
1121,what's the point of life?,7
1122,Does God appreciate that we question Him?,1
1123,What is the First word in the second paragraph of the introductry text in Star Wars: A New Hope?,8
1124,"When I click on my Yahoo Messenger icon, the window blinks on and quickly goes away. What can I do to fix it?",5
1125,"My girlfriend just told me that she was over everything, what am i to think of this?",9
1126,Why does a 40+ Computer support technician need to take pre-calculus?,4
1127,"Do you like the song ""Listen to your Heart"" by DHT?",8
1128,What are dream guides?,1
1129,What is your favorite color?,7
1130,i want to get a dna on a deceased person i know is the father of my son. and the family wont give us benefits.,10
1131,how many san joses (city/towns etc) are there in the world?,4
1132,Where can I sign an email address up for the most spam possible?,5
1133,how do  i deal with an anger disorser?,7
1134,"Who knows how I can get a loan for $42,000 to cover all my debt so that it's in one payment?",7
1135,Do gamma rays move as a wave or as a particle?,2
1136,How many wise men went to see the baby Jesus?  Why do we say three wise men?,4
1137,WHAT DOES -> TE  QUIIERO MUCHO MEANS??,1
1138,What will Yahoo gain out of this site?,5
1139,what do the following acronymns stand for 1.)P.S        2).C.C      3).B.C.C?,2
1140,guys pls tell me limewire is legal?,5
1141,where can i find a cd by Joan Jett/Blackhearts--I Love Rock n Roll?,8
1142,What is 'Divine Proportion'?,2
1143,"If a woodchuck were to actually chuck wood, what is the quantity of the wood that would be chucked?",6
1144,Could planets exist in stable orbits around binary stars?,2
1145,What is the political affiliation of the two creators of South Park?,10
1146,What is the best money making products to sell on ebay?,7
1147,why was hindi declared as national language of india?,1
1148,What percentage of the U.S. male population is gay?,1
1149,"Are you planning on making a New Years resolution?  If so, what is it?  Did you make one for this past year?",7
1150,where is walter payton buried?,6
1151,Why does Nikola Khabibulin suck this year with the Chicago Blackhawks?,6
1152,how season ocurr?/what factors affecting them?,2
1153,Tell me ...?,2
1154,Can the cd-rw drive in my laptop play dvd's?,5
1155,How management utilized to acomplish a organisation objective?,4
1156,There are several applications of the Noel Hypothesis to Hispanic American cultural groups.?,1
1157,My email address is CapDana@yahoo.com. I have been getting porno email from that address to me. What gives?,7
1158,GOPHERS ARE MESSING  UP MY GRASS ! HOW DO  I GET RID OF THEM MOTHERS?,7
1159,"Why is snow depicted in a crib, when there is no sow fall in bethlehem?",1
1160,"If God asked you if He should let you into Heaven, what would be your response...and why?",1
1161,Specific Places Where U cOULD take A lie Detector Test Around Van Nuys?,4
1162,"If John McCain were to run for president, don't you think he'd do better to run as an Independant?",10
1163,why are us blonds so stupid or at least condiderd stupid we dont know and are despratie for awnsers?,7
1164,What does MP3 stand for?,5
1165,whos   christian?,1
1166,What did we use before toilet paper?,7
1167,is there a word which can describe the excitement of being drunk?,4
1168,what is it in a serious relationship that woman want from men?,9
1169,Thailand memorialized the tsunami by floating beautiful paper lanterns each with a candle inside. How?,1
1170,In which sport are the shoes made entirely of metal?,4
1171,how can i write agood resume?,7
1172,"MY SISTER HATES ME AND I MIGHT MOVE UP TO HER GRADE, SHOULD I BE WORRIED?",7
1173,is a touchback a good thing?,6
1174,is any of the Maroon 5 band members gay?,8
1175,What's the song playing in this VS commercial?,7
1176,what is a test of stability?,5
1177,"I need the book ""Sign for Singapore"" Year 1990 ISBN 9812041486. Where can I get this book? Thanks in advance!",4
1178,Which Search Engine has a Mascot Named Arfie?,4
1179,how do the states directly amend the u.s consitution?,10
1180,what is the best way to learn history?,4
1181,uses of pythagoras in daily life?,2
1182,what are the two moons of mars called?,2
1183,why do people get stressed all the time?,3
1184,"Who is responsible for male pattern baldness, the mother's side of the family or the father's?",3
1185,What is 1 + 1+1 =? ( lets see how many answer)?,4
1186,"Could inteligent life have evolved from a different animal group, such as reptiles, birds or even insects?",2
1187,Who was the founder of Kaaba?,1
1188,Why are people from New Jersey so loud?,7
1189,how do u say i love you in spanish?,7
1190,How do you rent an apartment in San Francisco when you have poor credit...?,7
1191,What's the basis for Daylight Savings Time?,7
1192,How to improve on premature ejaculation?,3
1193,Is The Office the greatest thing since sliced bread?,8
1194,why did they ban baseball from olympicss?,6
1195,What is the difference between the fancy forks?,1
1196,How do you go about getting your story out when you are being defrauded by a workmans comp insurance company?,10
1197,"Superman Vs. Hulk, who would win?",7
1198,i like to put shrinky dinks around my bed before i make love. my gf is creeped out. is this cause for concern?,9
1199,Can someone narrate Hindu mythology Ramayana in brief.....where can I find it on website?,1
1200,Who is the best baseball player of all-time?,6
1201,how do i recover fantasy leagues that i can no longer view from the fantasy sports home page?,6
1202,Why do women cheat on their husbands?,9
1203,What was Mickey Mantle's playing number?,6
1204,why am I getting so much spam (50)in my bulk mail slot?,5
1205,Anyone here listen to Jason Mraz?,8
1206,how abs works?,2
1207,Which country was not chosen to participate in the 2006 FIFA World Cup in Germany?,6
1208,why did they say men are from mars and women are from venus?,4
1209,how much money have you spent or think you will on christmas presents?,1
1210,What is the quantum time-travel theory?,2
1211,how are the mets gonna do in 2006?,6
1212,"Song lyrics or composer to ""Elvis is alive and Playing Santa at Sears""...?",8
1213,why USA troops invade iraq . please dont say to liberate Iraqiis?,10
1214,What is the internet missing?,5
1215,how long are hockey games?,6
1216,When everything is going wrong today what do you do?,7
1217,What it is the average air-speed velocity of an unlader swallow?,2
1218,where can i get bobble head lyrics from by d4l?,8
1219,where can i find dbz music vids html codes for neopets guilds???,8
1220,Is there a digital photo face recognition service similar to RIYA.com?,5
1221,What do the eagles need to improve on in the offseason?,6
1222,what is the smell after death?,7
1223,"who is more stubbern,the donkey or the mule?",8
1224,Do you think the Philadelphia Flyers make it to the Stanley Cup this year? Why or why not?,6
1225,the main substrate for the secretion of ammonia in the kidney?,2
1226,Does decaf coffee count for my daily water intake?,3
1227,What is the worlds best mountain bike?,6
1228,What is the boiling temperature of water at the highest elevation on earth?,2
1229,How can I safely open a geode?,2
1230,"i'm a women with gential warts,partner left  afraid to be a lone for life due to condition any advise?",3
1231,Why does the computer take so long to load if it doesn't have a virus?,5
1232,who is the composer of the Philippine National Anthem?,8
1233,"As someone who knows nothing about networking, how do I network my PCs with a wireless router?",5
1234,what is the best way to stop smoking?? i have smoked for 20 years & need to stop...?,3
1235,What can't kick your left leg?,7
1236,did tookie get a fair deal?,10
1237,what is a keyloid and is it cancerous?,3
1238,Which sporting activity makes the most use of all the body muscles?,6
1239,Does Stairway to Heaven really have secret messages?,8
1240,WHY DO GIRLS CHEAT?,9
1241,how old are you?,7
1242,my laptop loses its broweser connection whenever i use P2P programs?,5
1243,"Which should i join, the Navy or the Air Force?",10
1244,Do you love Soccer?,6
1245,"What is Python 1.5, and can i delete it from my computer?",5
1246,What are good sound reasons for getting a divorce?,9
1247,"WHERE CAN I BUY THE ""LENNON"" 4-CD SET?",8
1248,what is the best site for pharmacy student on the web??i want a free  one?,2
1249,when your boyfriend and you don't talk much yet how do you figure out how he feels about you.?,9
1250,Who would you rather have as your coach - Bobby Bowden or Joe Paterno?,6
1251,"What is a meter multiplier, list on an electric bill?",7
1252,what does RSV stand for in medical terms?,3
1253,What is web 2.0?,5
1254,what is the airspeed velocity of a coconut laden swallow?,2
1255,"Over hundreds of years, the glass in glass windows sinks down to the bottem.  So is glass a liquid or a solid?",4
1256,"where did the phrase ""this too shall pass"" originate?",4
1257,"Has Anyone ever read the book ""To Kill a Mockingbird?""?",7
1258,What is the meaning of Immanuel?,7
1259,"Do you generally care about other people, or simply live life for yourself?",7
1260,Does anybody know what program allows you to use the satellite to discover another places?,5
1261,What are best general purpose binoculars for astronomy?,2
1262,What do you think is the best age to be?  Why?,1
1263,how do you just end a 9yr relationship?,9
1264,What search engine would you use to gather information?,5
1265,"Is there anything one can do to ""spice"" up what appears to be a dull relationship (marriage)?",9
1266,wats the thing u really love about ur etnicity???,7
1267,"What's it like, being in a relationship?",9
1268,How are materials exchanged through capillaries?,2
1269,How do I erase all personal data?,5
1270,what are five names of US cities adopted from greek?,4
1271,"As a Freshmen starting college, is it better to go away for school or stay home in this day and age?",4
1272,Is yahoo going to close some accounts?,5
1273,slashdot or digg ?,5
1274,Can Africans become Geisha women in Japan?,3
1275,Why is it so hard to get marijuana legalized in the United States?,10
1276,Does anyone know a good tutorial for Typepad?,5
1277,What is the best 9 to 5 occupation attainable w/o a college degree?,7
1278,what are the factors that determine the hoursduring a telecoomunication network available?,5
1279,How many countries are there in the world?,2
1280,How can a person get in touch with kevin trudeau of natural cures book?I've already tried the people search,4
1281,where does berilum come from?,7
1282,What percent of Americans celebrate Christmas?,1
1283,Greatest Ohio state football players?,6
1284,are goldquest or questvacation valid companies ?,7
1285,What's your favorite programming language?,5
1286,Switch to Mac?,5
1287,how do i get pics of animals found in climatic regions of south america?,4
1288,Where can I find NY Giants shot glass set?,6
1289,who is rita cobbina of ghana?,10
1290,is there an italian word for 'oxymoron'?,1
1291,what is the world mile record?,6
1292,highest degree offered in the field of general physician?,4
1293,Web Conferencing?,5
1294,WHO CREATED EARTH?,2
1295,Can you recomend me some web pages from graphic designer?,7
1296,"Is there a correlation between Pi and Euler's constant, e?",2
1297,which country is likely to beat australia in the 2007 cricket world cup ??,6
1298,R u annoyed in lakers wen dey lost in their last game with memphis??,6
1299,can you get financial aid if you have been convicted of a crime?,4
1300,do you know incruit?,7
1301,how do you get aids physically? do condom provideone of the best protection?,3
1302,how to configure vLan and routing on cisco 3550 scitch?,5
1303,what kind of a person does it take to be a surgical technologist?,2
1304,what is a good all in one machine that prints pictures at professional quality as well as copy scan and fax ?,5
1305,"What do you do if you tell your boyfriend of 4 years that you love him, and he's just silent?",9
1306,i need to find a houes forent in cocoa fl?,4
1307,What are some treatment options for a herniated disc in the lower spine?,3
1308,what is delegent mean?,7
1309,gaciers in alaska are melting. global warming? what can we do?,2
1310,Is there any musical software which I can take out the main vocals of a MP3 file and make it an instrumental?,5
1311,what is good for a stomach ache?,3
1312,Do aliens exist? Are they on this planet right now?,2
1313,what is the most important issue in human?,1
1314,What is the best movie playing in thetres today that i should go and see?,8
1315,What is the difference between religion and psychiatry?,1
1316,like hi5 or zorpia or orkut sites?,7
1317,is their a possibility to put back ur honey?is he thinking of me too?,9
1318,give some tips on basketball?,6
1319,my boyfriend told me that he was with his exgirlfriend does that mean he is cheating on me pla help me?,7
1320,Why do people say 'pardon my french' when they cuss?,4
1321,How did they decide how many time zones there were going to be and where the lines to divide them would be?,2
1322,"Is "" short of nothing "" a correct phrase of words ?",4
1323,Whatever happened to Jakob Dylan?,8
1324,what is the jewish custom of putting rocks on a graveto show love and care for the deceased?,7
1325,nanomagnetic?,2
1326,is epilepsy a disability that merits one to get monthly checks from the government?,10
1327,How can I put my real picture in  Yahoo avatar?,7
1328,my sn password is stolen 2 times this week what can i do?,7
1329,HOW DO I CREATE MY YAHOO SIGNATURE?,5
1330,what do men get in return?,9
1331,"How guilty is Palmiero? Was he a regular user, was it a mistake?",6
1332,Does clemens(houston) will pitch the next season?,6
1333,Where can I learn how to use Microsoft Access 2003?,5
1334,who is the president of pakistan?,10
1335,do you like money?,7
1336,How many millionaries and billionaries?,7
1337,how can you get a girl to get freakie and be okay with it when your married and she is single?,9
1338,why does a human live for only abt 70 odd years..........?,1
1339,If a us president  is killed and the vice president takes over who would be next in line to be vice president?,10
1340,What's the best gift you got for Christmas?,7
1341,"Who originally wrote the song ""atlantic City"" made famous by Bruce Springsteen?",8
1342,"what is ""allometric chenge"" in geomorphology?",2
1343,What kind of movie can attract you?,8
1344,how  to make a new avatar?,7
1345,why is beef jerky called beef jerky?,7
1346,Are there proofs of homosexuality b/w Batman & Robin?,8
1347,How old is George W. Bush?,10
1348,How can men hold their orgasms?,9
1349,"if i melt dry ice, can i swim without getting wet?",7
1350,what injuries can dodgeball make?,6
1351,What is the best website for Government Grants and loans for disabled or low income individuals?,7
1352,Do women really care about finding a nice guy?,9
1353,what is an atom?,4
1354,"Have you ever seen the movie ""Event Horizon?""?",2
1355,why do men loose interest in girls once they have them?,9
1356,What is the seed of sound?,2
1357,"According to news sites, the Earth's rotation slows only 2 milliseconds each 100 years. So why the heck are",2
1358,How many died in the civil war?,7
1359,What is an 125th anniversary called?,1
1360,Where did the tradition of Christmas trees start?,7
1361,Why are jews so few in numbers even though their religion came before christianity & Islam ?,1
1362,Is it true that your personality is determine by your date and place of birth?,7
1363,sbc offers different price rates for dsl.  what is the best if my son will be playing x box live?,5
1364,Who was the first terrorist in history?,7
1365,does putting alot of jobs on your resume hurt when looking for employnwent?,7
1366,Is it mongooses or mongeese?,4
1367,who should i keep in my keeper league.Larry johnson or santana moss?,6
1368,japan will win the cup is this right?,6
1369,How can I get my title deed after I lost it?,7
1370,Is Hitler and George W Bush got into a fist fight who would win?,10
1371,how to tackle frustration?,9
1372,is george bush the anti christ?,10
1373,tom or jerry?,7
1374,"Where do my teeth get their ""Wisdom"" from?",3
1375,why is the sky blue?,2
1376,how do you install a video card in the computer?,5
1377,How many electron pairs with principal quantum number n=3 can be accomodated in an atom?,2
1378,"On the Simpsons, what state is Springfield in?",8
1379,What is the fastest way in which we can change the density (NOT the weight!) of our bodies?,4
1380,How can I get someone's address that has been deployed to Iraq?,10
1381,What's the word for 'any cell in the body that is not a sperm or an egg'?,2
1382,what is the best way to study?,4
1383,What is the difference between AJAX and Microsoft Remote Scripting ?,5
1384,what's the best reggeaton dance move?,7
1385,Should Y! have full reign to deny people their 1st amendment rights?,10
1386,I heard about Eddie Guerrero. Any news in depth on what caused his death?,6
1387,"hi i'm trying to locate a castle motel on 88th/broadway in los angeles,ca?",7
1388,do vampires and werewolves really exist?,1
1389,Has USC ever had names on thier official game jersey's?,6
1390,What is colchicine?,2
1391,"In any group of people, does the best always rise to the top? Are the best always the most noticed?",7
1392,where did jess james bury his gold.?,7
1393,"What's the eye on the dollar , means ?",7
1394,"If your current boyfriend refers to his ex a lot, does he still wish he was with her?",9
1395,How do u feel about the verse in John(gospel) 3:16? and how did u find Jehovah Witnesses?Good or Bad?,1
1396,how to accept usa visa?,7
1397,What is the reason behind the creation of the FBI?,7
1398,IS 5 X 29 THE SAME AS 5 X 9 PLUS 5 X 20? EXPLAIN?,2
1399,What's your favorite christmas movie?,8
1400,what is a proven successful strategy for a male in match.com?,9
1401,Are people that consume vegetables produced by illegal aliens evil?,10
1402,How can the social quagmire of abortion be resolved when only about 15% of elected offices are held by women?,10
1403,What's your favorite word in the Spanish language?,4
1404,What can one do about anal leak?,3
1405,what feels the best?,7
1406,Should the government ever have the right to spy on it's own citizens?,10
1407,what year did lynard skynard come out with who black betty?,8
1408,What contents are in an official high school transcript?,4
1409,what is the reason for life?,1
1410,Why was bush was elected twice ?,10
1411,what is the best way to fight a cold?,3
1412,"Are the Spurs going to repeat as NBA champions? If not, who will dethrone them?",6
1413,can I make real money online?,7
1414,What is the best social problem to talk about in a 10th grade student essay?,4
1415,what do you think of muslims and Islam ?,1
1416,What does increased normal of lymph nodes mean?,3
1417,What is the most popular website in the Netherlands?,5
1418,which past or current NFL stadium has hosted the most regular season games?,6
1419,Any one a Yankee fan?,6
1420,Can Freddy Adu survive the pressure of playing soccer in Europe?,6
1421,"what is titratable acidity, how is it formed in the kidney and excreted in the urine?",4
1422,"in the N.H.L. win/loss table, what does the column on the far right mean?",6
1423,"IF THE HOUSTON TEXANS GET THE #1 PICK IN NEXT YEARS NFL DRAFT, SHOULD THEY GET REGGIE BUSH?",6
1424,"Why do we say ""bless you"" after someone sneezes ?",1
1425,What does the new EU law about data retention really mean to us?,5
1426,i just want to know if there any school here in somerset who offer a six weeks training of a nurse asistant?,4
1427,will the seattle seahawks go the superbowl this year?,6
1428,Is it better to buy a new or used pontoon boat for an all-recreation lake?,6
1429,what is density?,2
1430,what is the best tutorial for adobe after effects?,5
1431,"When you are registered to vote, does your registration expire?",10
1432,"Can anyone tell me more about the ""Project for the New American Century""?",10
1433,where do you learn to hack?,5
1434,names of present presidents in the different countries all over the world?,10
1435,With proof that we all came from the same ancestors would racism stop?,1
1436,Define BELIEF.What do you think of Athiests and Communists?Explain.?,1
1437,Do you support chinese characters here?,7
1438,Looking for nude models.?,7
1439,I need a virus protection program.?,5
1440,what is the best way to get rid of a cold and FAST!!!?,7
1441,"in the food service industry, there is a small vegetable dish that is called a monkey dish, Why?",7
1442,what can i do if i do not have a social securety card and i need to have a secure credit card.anything?,7
1443,where can i buy timberlin boots and get them air brushed???,7
1444,How do I hi meet a girl I've tried everthing can't seem to anyone please help?,7
1445,What is the derivative of this?,4
1446,what are the best type of false teeth?,3
1447,Have you ever smelled moth balls?,4
1448,Is there any BOB MARLEY christmas ornaments?,7
1449,"where can i find photo galleries of hot lpga stars such as cristy kerr, natlie gublis, etc.??",6
1450,what is the best Holiday?,7
1451,why are dimes smaller than nickels?,7
1452,why doesnt glue stick to the inside of a bottle ?,7
1453,what is the maximum amount of ssi benefits a 23 year old person can resieve if going to school in merced count,10
1454,where did formula 1 get its name from?,6
1455,"How is like to live in kissimmee, Flordia?",7
1456,ARE THERE ANY GOOD MEN OUT THERE?,9
1457,most important invention in the last 100 years?,4
1458,Passionate people - do they match well together or spell disaster?,9
1459,Submerged geometric shapes near Cuba?,2
1460,what are other words for selfish?,4
1461,I want to burn cds  but i dont know how to?,8
1462,When Yahoo and MSN talk to each other...which one will u use? and Why?,5
1463,why did my font size change on all internet pages including Yahoo?,5
1464,Why do people attack  religious beliefs in the name of religion?,7
1465,I have to put sulfur in my hair and have been mixing it with aloe vera gel.There is an odor.Is this toxic?,2
1466,"i need help on how to put flash videos on ur page,but i dont kno how to,and i need help on what a SWF is??HELP",5
1467,How to say no to your senior in the office?,7
1468,I dont understand my love life.I want to have a bf but whenever i have my mood easily get change.?,9
1469,Why does my avatar not show up when I answer a question?,7
1470,how come you can only answer somany questions per day?,7
1471,Why is it dark when it rains but not when it snows during the day?,2
1472,I need an energy boost...natural ingredients preferred...home remedies welcome?,3
1473,How many people do you know that died from smoking ?(not side effects of smoking but from smoking)?,3
1474,"In the fourth century BC, which ancient western civilization established a city in the modern day country of T",4
1475,what is the crime rate of mojave high school in Las Vegas Nevada?,4
1476,why is the sky blue?,7
